종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
181480,ACE 미국다우존스리츠(합성 H),76865,-330,-0.43,76627.32,78430,78430,76470,231,17698745,13835700000,0,180000,Dow Jones U.S. Real Estate Index,0,0,0
456880,ACE 미국달러SOFR금리(합성),10080,10,0.1,10074.04,10070,10115,10060,29003,292834445,40521600000,0,4020000,Solactive SOFR Daily Total Return Index,1091.33,0,0
440650,ACE 미국달러단기채권액티브,10060,-10,-0.1,10060.97,10080,10105,10060,8526,85946875,9054000000,0,900000,Bloomberg Short-Term Treasury Total Return Index,133.44,0,0
402970,ACE 미국배당다우존스,10640,-40,-0.37,10649.42,10680,10700,10640,917273,9784842900,1.2768E+11,0,12000000,Dow Jones U.S. Dividend 100 Price Return Index,5264.31,0,0
391590,ACE 미국스팩&IPO INDXX,5855,75,1.3,5869.63,5800,5855,5800,60,350750,2927500000,0,500000,Indxx SPAC & NEXTGEN IPO Price return Index,471.78,0,0
391600,ACE 미국친환경그린테마INDXX,10460,-70,-0.66,10462.45,10530,10530,10455,1726,18065410,28242000000,0,2700000,Indxx US Green Infrastructure Price return Index,3382.49,0,0
455660,ACE 미국하이일드액티브(H),9920,15,0.15,9912.62,9920,9920,9890,6698,66417160,8928000000,0,900000,Markit iBoxx USD Liquid High Yield Total Return Index,314.14,0,0
143460,ACE 밸류대형,8895,55,0.62,8890.63,8885,8895,8865,48,426675,8005500000,0,900000,FnGuide-RAFI 코리아 대형 지수,8799.63,44.09,0.5
245710,ACE 베트남VN30(합성),19505,-260,-1.32,19749.64,19770,19805,19505,1221136,23952680850,2.92575E+11,0,15000000,VN30 Index(PR),1238.64,-9.17,-0.73
371130,ACE 베트남VN30선물블룸버그레버리지(H),12035,-180,-1.47,11996.65,12385,12385,11910,5076,61399670,8424500000,0,700000,Bloomberg VN30 Futures Excess Return Index,178.99,-1.32,-0.73
131890,ACE 삼성그룹동일가중,16930,0,0,16921.75,16920,16930,16870,25,422910,8465000000,0,500000,MKF SAMs EW 지수,16907.81,-25.34,-0.15
108450,ACE 삼성그룹섹터가중,15835,155,0.99,15841.49,15725,15850,15725,2954,46684820,49088500000,0,3100000,MKF SAMs SW,15763.67,155.75,1
322130,ACE 스마트로우볼,14570,120,0.83,14558.99,14525,14570,14525,22,320050,7285000000,0,500000,FnGuide 스마트 로우볼 지수,1437.01,10.7,0.75
272220,ACE 스마트모멘텀,14235,215,1.53,14222,14135,14235,14135,22,312120,7117500000,0,500000,FnGuide 스마트 모멘텀 지수,1415.51,19.34,1.39
272230,ACE 스마트밸류,12875,120,0.94,12863.92,12820,12875,12820,33,423675,7725000000,0,600000,FnGuide 스마트 밸류 지수,1278.57,11.26,0.89
322120,ACE 스마트퀄리티,15240,220,1.46,15228,15135,15240,15135,131,1985390,7620000000,0,500000,FnGuide 스마트 퀄리티 지수,1516.04,20.65,1.38
322150,ACE 스마트하이베타,13020,180,1.4,13002.11,12930,13020,12915,32,414635,6510000000,0,500000,FnGuide 스마트 하이베타 지수,1290.66,17.09,1.34
316300,ACE 싱가포르리츠,12355,40,0.32,12367.46,12315,12400,12245,297,3639735,8648500000,0,700000,Morningstar Singapore REIT Yield Focus Index(PR),1333.02,-0.02,0
277540,ACE 아시아TOP50S&P,12705,0,0,12671.28,12700,12705,12630,443,5596095,19057500000,0,1500000,S&P ASIA50 Price Return Index,3599.86,11.88,0.33
448540,ACE 엔비디아채권혼합블룸버그,14320,-45,-0.31,14264.92,14300,14330,14275,24686,353245975,24344000000,0,1700000,Bloomberg Blended NVIDIA Equity and Korean Bond Index,5403.95,0,0
433500,ACE 원자력테마딥서치,12155,-40,-0.33,12334.16,12310,12310,12095,256871,3144927810,8508500000,0,700000,DeepSearch 원자력테마 지수 (시장가격지수),1235.66,5.12,0.42
256440,ACE 인도네시아MSCI(합성),10805,80,0.75,10911.37,10745,10810,10665,15217,163690835,45381000000,0,4200000,MSCI Indonesia Index,7666.13,47.74,0.63
145670,ACE 인버스,5565,-60,-1.07,5562.24,5640,5640,5550,5194,28958380,3339000000,0,600000,코스피 200 선물지수,1723.42,15.86,0.93
238720,ACE 일본Nikkei225(H),22010,-70,-0.32,22011.24,22055,22145,22000,233233,5132638545,46221000000,0,2100000,Nikkei 225,32204.33,-172.96,-0.53
196030,ACE 일본TOPIX레버리지(H),29565,-130,-0.44,29702.6,29620,29770,29405,5533,163496910,14782500000,0,500000,TOPIX,2282.57,-9.16,-0.4
205720,ACE 일본TOPIX인버스(합성 H),3285,25,0.77,3296.47,3310,3310,3265,3353,10981460,5584500000,0,1700000,TOPIX,2282.57,-9.16,-0.4
356540,ACE 종합채권(AA-이상)KIS액티브,95870,45,0.05,95825.11,95890,95890,95735,29647,2839550945,5.13959E+11,0,5361000,KIS 종합채권 AA-이상 총수익 지수(Total return Index),107.79,0,0
447430,ACE 주주환원가치주액티브,10380,-20,-0.19,10415.79,10395,10395,10375,84,871565,5709000000,0,550000,FnGuide 올라운드 가치주 지수,856.89,5.78,0.68
416090,ACE 중국과창판STAR50,6995,-5,-0.07,7013.86,7055,7055,6990,6550,45855750,6295500000,0,900000,STAR 50 Index(Price Return),957.27,-8.26,-0.86
168580,ACE 중국본토CSI300,25815,40,0.16,25952.03,25780,25895,25745,5026,129755550,1.44048E+11,0,5580000,CSI 300 Index,0,-3979.73,-100
219900,ACE 중국본토CSI300레버리지(합성),3155,-10,-0.32,3193.34,3145,3170,3130,21344,67130140,6941000000,0,2200000,CSI 300 Index,0,-3979.73,-100
272910,ACE 중장기국공채액티브,98155,35,0.04,98146.17,98155,98155,98155,1,98155,34256095000,0,349000,KIS 종합채권국공채1-10Y지수,141.07,0,0
371870,ACE 차이나항셍테크,6180,-30,-0.48,6200.64,6200,6240,6100,2344,14422940,4944000000,0,800000,Hang Seng TECH Index,4350.95,-23.25,-0.53
251890,ACE 코스닥(합성),12910,250,1.97,12897.96,12940,12940,12910,2,25850,2582000000,0,200000,코스닥,908.93,16.59,1.86
354500,ACE 코스닥150,14785,355,2.46,14844.81,14430,14905,14430,1551,22949420,23656000000,0,1600000,코스닥 150,1474.57,32.89,2.28
305050,ACE 코스피,26680,330,1.25,26657.97,26465,26680,26465,104,2763545,8004000000,0,300000,코스피,2605.12,31.14,1.21
457480,ACE 테슬라밸류체인액티브,12825,-20,-0.16,12832.73,12800,12885,12790,317356,4076499900,1.6416E+11,0,12800000,Bloomberg EV Supporters Plus Tesla Price Return Index,6783.17,0,0
261920,ACE 필리핀MSCI(합성),13200,25,0.19,13162.7,13305,13305,13170,17,224755,5280000000,0,400000,MSCI Philippines IMI Index,1542,14.22,0.93
152100,ARIRANG 200,34785,380,1.1,34875.33,34410,34875,34410,46123,1604945665,6.41783E+11,0,18450000,코스피 200,341.62,3.67,1.09
295820,ARIRANG 200동일가중,9590,30,0.31,9622.43,9465,9600,9465,33595,321822245,4795000000,0,500000,코스피 200 동일가중지수,2120.6,16.22,0.77
253150,ARIRANG 200선물레버리지,31415,710,2.31,31463.34,31340,31555,31275,1033,32588175,9424500000,0,300000,코스피 200 선물지수,1723.42,15.86,0.93
253160,ARIRANG 200선물인버스2X,5065,-120,-2.31,5063.76,5110,5145,5040,20463,103585855,9370250000,0,1850000,코스피 200 선물지수,1723.42,15.86,0.93
447660,ARIRANG Apple채권혼합Fn,10715,-45,-0.42,10805.03,10815,10825,10715,29845,321342520,11786500000,0,1100000,FnGuide 애플채권혼합 지수,1919.16,2.32,0.12
395750,ARIRANG ESG가치주액티브,8150,35,0.43,8182.2,8050,8275,8050,17544,143472230,37082500000,0,4550000,FnGuide 한화 ESG 가치 지수,1270.99,13.69,1.09
395760,ARIRANG ESG성장주액티브,8295,90,1.1,8325.46,8140,8335,8140,171,1420790,9954000000,0,1200000,FnGuide 한화 ESG 성장 지수,1418.79,20,1.43
278420,ARIRANG ESG우수기업,7935,-60,-0.75,7955.82,7920,7960,7920,1496,11893390,1983750000,0,250000,WISE ESG우수기업 지수,1110.18,-4.1,-0.37
436180,ARIRANG K-유니콘투자기업액티브,9755,10,0.1,9779.89,9650,9760,9650,23,223995,5853000000,0,600000,FnGuide K-유니콘 투자기업 지수,978.04,4.18,0.43
453010,ARIRANG KOFR금리,101435,5,0,101434,101440,101440,101430,1503,152463435,1.21519E+11,0,1198000,KOFR 지수,1091.01,0.11,0.01
292750,ARIRANG KRX300,16140,110,0.69,16193.46,15940,16185,15940,22,355255,9684000000,0,600000,KRX 300,1590.15,17.57,1.12
309210,ARIRANG KRX300헬스케어,8570,350,4.26,8593.01,8145,8600,8145,2110,17943390,2742400000,0,320000,KRX300 헬스케어,2412.89,105.67,4.58
333940,ARIRANG KS로우볼가중TR,12085,5,0.04,12127.98,12015,12155,12015,27,326855,5438250000,0,450000,FnGuide KS 로우볼 가중 TR 지수,2149.33,10.69,0.5
333950,ARIRANG KS로우사이즈가중TR,15620,100,0.64,15677.98,15415,15640,15415,23,358400,7029000000,0,450000,FnGuide KS 로우사이즈 가중 TR 지수,2543.88,29.54,1.17
333960,ARIRANG KS모멘텀가중TR,14130,110,0.78,14178.5,13950,14170,13950,21,296665,6358500000,0,450000,FnGuide KS 모멘텀 가중 TR 지수,2066.62,25.1,1.23
333970,ARIRANG KS밸류가중TR,14710,40,0.27,14758.3,14610,14740,14610,21,309000,5884000000,0,400000,FnGuide KS 밸류 가중 TR 지수,2324.83,15.91,0.69
333980,ARIRANG KS퀄리티가중TR,14100,110,0.79,14162.7,13895,14125,13895,21,295650,4935000000,0,350000,FnGuide KS 퀄리티 가중 TR 지수,2166.09,28.52,1.33
429740,ARIRANG K리츠Fn,6880,-65,-0.94,6913.4,6980,6980,6860,471,3245835,3784000000,0,550000,FnGuide 리츠 지수,661.73,-6.99,-1.05
449450,ARIRANG K방산Fn,11485,40,0.35,11498.33,11445,11490,11310,143148,1635190280,53405250000,0,4650000,FnGuide K-방위산업 지수,1213.07,1.81,0.15
269530,ARIRANG S&P글로벌인프라,13600,5,0.04,13616.66,13595,13600,13595,52,707035,6800000000,0,500000,S&P Global Infrastructure Index,2643.03,0,0
433850,ARIRANG TDF2030액티브,10465,-15,-0.14,10573.21,10520,10520,10465,504,5275945,2093000000,0,200000,Morningstar Korea Lifetime Allocation Moderate 2030 Index (Gross Return),1296.32,0,0
433860,ARIRANG TDF2040액티브,10565,-15,-0.14,10685.74,10575,10580,10565,2749,29056460,2218650000,0,210000,Morningstar Korea Lifetime Allocation Moderate 2040 Index (Gross Return),1426.71,0,0
433870,ARIRANG TDF2050액티브,10840,-20,-0.18,10965.17,10845,10960,10840,203,2203185,1951200000,0,180000,Morningstar Korea Lifetime Allocation Moderate 2050 Index (Gross Return),1846.15,0,0
433880,ARIRANG TDF2060액티브,11250,25,0.22,11257.44,11255,11255,11250,761,8561650,2362500000,0,210000,Morningstar Korea Lifetime Allocation Moderate 2060 Index (Gross Return),1893.45,0,0
251590,ARIRANG 고배당저변동50,10740,-10,-0.09,10769.38,10750,10790,10725,426,4576335,5907000000,0,550000,FnGuide 고배당저변동50 지수,1860.34,2.95,0.16
161510,ARIRANG 고배당주,11290,-100,-0.88,11320.27,11380,11380,11280,102886,1164262235,1.70366E+11,0,15090000,FnGuide 배당주 지수,11059.05,-86.12,-0.77
251600,ARIRANG 고배당주채권혼합,10675,-50,-0.47,10690.47,10665,10730,10665,5336,57077315,11742500000,0,1100000,FnGuide 고배당 채권혼합 지수,2699.56,-9.42,-0.35
461460,ARIRANG 국고채10년액티브,49670,-95,-0.19,49715.79,49720,49760,49645,8117,403353955,2.27787E+11,0,4586000,KAP 국고채 10년 동일가중 지수(총수익),103.15,0,0
451600,ARIRANG 국고채30년액티브,93135,0,0,93028.93,93070,93225,92880,509,47363860,3.9778E+11,0,4271000,KAP 국고채 30년 지수(총수익),82.48,0,0
289670,ARIRANG 국채선물10년,50945,165,0.32,50910.03,50925,51005,50875,5570,283693485,8354980000,0,164000,10년국채선물지수,1172.47,-2.98,-0.25
298340,ARIRANG 국채선물3년,53000,0,0,52998.54,0,0,0,0,0,4876000000,0,92000,국채선물지수,1217.19,-0.82,-0.07
442580,ARIRANG 글로벌D램반도체iSelect,13400,110,0.83,13431.33,13300,13450,13195,40153,532251130,4690000000,0,350000,iSelect 글로벌DRAM반도체지수,3343.69,17.09,0.51
189400,ARIRANG 글로벌MSCI(합성 H),16375,-50,-0.3,16282.95,16335,16375,16335,158,2581250,6386250000,0,390000,MSCI ACWI Index,688.84,0.56,0.08
419650,ARIRANG 글로벌수소&차세대연료전지MV,6380,5,0.08,6364.31,6365,6385,6360,4436,28259970,5742000000,0,900000,BlueStar Hydrogen and NextGen Fuel Cell Index (시장가격),65.91,0,0
438210,ARIRANG 글로벌인공지능산업MV,10525,-195,-1.82,10490.64,10500,10555,10500,3454,36381535,3157500000,0,300000,BlueStar Artificial Intelligence Index(시장가격),527.08,0,0
415920,ARIRANG 글로벌희토류전략자원기업MV,7925,-25,-0.31,7887.75,7950,7980,7870,5901,46786245,3566250000,0,450000,MVIS Global Rare Earth/Strategic Metals Index (Price Return),510.19,0.07,0.01
278620,ARIRANG 단기채권액티브,109315,20,0.02,109319.57,109320,109320,109310,1218,133148510,5684380000,0,52000,"KAP 투자적격 크레딧 채권 1년 지수(A- 이상,총수익)",134.95,0.01,0.01
429760,ARIRANG 미국S&P500,11200,25,0.22,11177.37,11200,11225,11185,2922,32753300,12320000000,0,1100000,S&P 500,4499.38,0,0
269540,ARIRANG 미국S&P500(H),18595,25,0.13,18578.4,18570,18595,18570,6204,115268510,61363500000,0,3300000,S&P 500,4499.38,0,0
287180,ARIRANG 미국나스닥테크,25335,-205,-0.8,25249.18,25540,25540,25320,1239,31395170,26601750000,0,1050000,NASDAQ 100 Technology Sector Index,8075.65,0,0
213630,ARIRANG 미국다우존스고배당주(합성 H),15105,0,0,15084.91,15105,15105,14980,545,8209845,12839250000,0,850000,Dow Jones U.S Select Dividend Index(시장가격지수),821.01,0,0
332610,ARIRANG 미국단기우량회사채,110210,305,0.28,109974.34,110085,110425,110000,54,5954285,26450400000,0,240000,ICE BofaAML 1-3 Year AAA-A US Corporate Index(총수익지수),519.95,0,0
456200,ARIRANG 미국달러SOFR금리액티브(합성),49955,305,0.61,49835.05,49995,50005,49955,17,849905,7493250000,0,150000,Solactive SOFR Daily Total Return Index,1091.33,0,0
426410,ARIRANG 미국대체투자Top10MV,12560,-165,-1.3,12656.83,12725,12725,12560,253,3184885,2512000000,0,200000,BlueStar Top 10 US Listed Alternative Asset Managers Index (시장가격),240.17,0,0
332620,ARIRANG 미국장기우량회사채,85120,315,0.37,85031.19,84420,85465,84420,9099,775308125,30728320000,0,361000,ICE BofaAML 15+ Year AAA-A US Corporate Index(총수익지수),1060.58,0,0
461900,ARIRANG 미국테크10iSelect,10140,20,0.2,10169.68,10080,10145,10080,32187,326302185,7605000000,0,750000,iSelect 미국 Tech 10 지수,3601.03,0,0
461910,ARIRANG 미국테크10레버리지iSelect(합성),10385,-20,-0.19,10297.72,10720,10720,10350,217224,2254843700,7788750000,0,750000,iSelect 미국 Tech 10 지수,3601.03,0,0
195970,ARIRANG 선진국MSCI(합성 H),11005,-55,-0.5,11049.7,11060,11060,10995,8185,90083760,13426100000,0,1220000,MSCI EAFE Index,2131.34,3.48,0.16
238670,ARIRANG 스마트베타Quality채권혼합,10635,-20,-0.19,10655.18,10630,10645,10625,1812,19256700,5317500000,0,500000,WISE-KAP 스마트베타 Quality 채권혼합지수,1303.5,6.15,0.47
195980,ARIRANG 신흥국MSCI(합성 H),9130,-45,-0.49,9235.79,9175,9190,9100,13601,124251180,77605000000,0,8500000,MSCI EM Index,1006.47,2.76,0.27
373530,ARIRANG 신흥국MSCI인버스(합성 H),11260,15,0.13,11395.2,0,0,0,0,0,5855200000,0,520000,MSCI EM Index,1006.47,2.76,0.27
256450,ARIRANG 심천차이넥스트(합성),9290,0,0,9419.61,9290,9290,9290,71,659590,5574000000,0,600000,SZSE ChiNext Price Index,2228.84,-0.07,0
239660,ARIRANG 우량회사채50 1년,112360,25,0.02,112353.56,112375,112375,112350,1367,153593230,13483200000,0,120000,KOBI HALF CREDIT Index(총수익),11476.69,-0.72,-0.01
421320,ARIRANG 우주항공&UAM iSelect,10460,15,0.14,10489.22,10445,10480,10350,13851,144258415,12552000000,0,1200000,iSelect 우주항공UAM 지수,1175.06,4.4,0.38
451000,ARIRANG 종합채권(AA-이상)액티브,102230,-180,-0.18,102342.35,102230,102230,102230,1,102230,2.39729E+11,0,2345000,"KAP 종합채권지수(AA-이상, 총수익)",107.63,0,0
280920,ARIRANG 주도업종,9120,65,0.72,9149.79,8980,9135,8980,23,209385,4560000000,0,500000,FnGuide 주도업종 지수,1384.06,15.99,1.17
266550,ARIRANG 중형주저변동50,10845,-25,-0.23,10878.98,10755,10855,10755,132,1428005,2711250000,0,250000,FnGuide 중형주저변동50지수,2135.44,4.59,0.22
301400,ARIRANG 코스닥150,14880,305,2.09,14984.92,14510,15025,14510,377,5589415,3720000000,0,250000,코스닥 150,1474.57,32.89,2.28
301410,ARIRANG 코스닥150선물인버스,5550,-120,-2.12,5547.02,5720,5720,5505,32574,181258560,3885000000,0,700000,F-코스닥150 지수,1714.32,42.74,2.56
227830,ARIRANG 코스피,27000,275,1.03,27014.23,26550,27000,26550,90,2409000,6750000000,0,250000,코스피,2605.15,31.17,1.21
122090,ARIRANG 코스피50,23620,170,0.72,23689.9,23555,23730,23555,926,21901625,17006400000,0,720000,코스피 50,2360.2,25.65,1.1
328370,ARIRANG 코스피TR,13765,110,0.81,13803.85,13560,13780,13560,20535,282488055,1.98216E+11,0,14400000,코스피 TR,3232.1,38.64,1.21
301440,ARIRANG 코스피중형주,10580,35,0.33,10606.88,10595,10595,10580,2,21175,1058000000,0,100000,코스피 중형주,2843.9,20.73,0.73
457990,ARIRANG 태양광&ESS Fn,9785,230,2.41,9825.87,9525,9785,9525,3412,33165835,7828000000,0,800000,FnGuide 태양광 & ESS 지수,2591.03,61.76,2.44
457930,BNK 미래전략기술액티브,10175,155,1.55,10199.09,10025,10190,10025,2097,21196795,7631250000,0,750000,iSelect 미래전략기술 지수 (PR),2358.95,36.2,1.56
445690,BNK 주주가치액티브,11850,55,0.47,11864.7,11795,11850,11795,1739,20560525,13035000000,0,1100000,FnGuide 주주가치 지수,1715.77,13.11,0.77
448570,FOCUS AI코리아액티브,12015,110,0.92,12033.86,12010,12015,12005,197,2365945,20425500000,0,1700000,코스피,2605.12,31.14,1.21
285690,FOCUS ESG리더스,10255,30,0.29,10292.23,10270,10270,10255,10,102685,14357000000,0,1400000,KRX ESG Leaders 150,1613.87,8.74,0.54
292730,FOCUS KRX300,16455,135,0.83,16490.85,16500,16500,16455,2,32955,16455000000,0,1000000,KRX 300,1590.15,17.57,1.12
402520,FOCUS 혁신기업액티브,8285,45,0.55,8312.35,8310,8310,8285,2,16595,9113500000,0,1100000,코스피,2605.07,31.09,1.21
293180,HANARO 200,34330,415,1.22,34376.06,34180,34365,34175,262403,8992759180,5.5443E+11,0,16150000,코스피 200,341.62,3.67,1.09
407310,HANARO 200 TOP10,8865,165,1.9,8856.64,8815,8875,8810,114,1008265,92196000000,0,10400000,코스피 200 Top 10 지수,1375.93,20.51,1.51
332930,HANARO 200TR,42575,510,1.21,42662.25,42390,42665,42390,69,2934815,1.25596E+11,0,2950000,코스피 200 TR,427.6,4.58,1.08
304780,HANARO 200선물레버리지,18950,450,2.43,18919.61,18700,18965,18700,455,8529055,36005000000,0,1900000,코스피 200 선물지수,1723.42,15.86,0.93
306520,HANARO 200선물인버스,10375,-145,-1.38,10395.25,10435,10435,10375,26,270620,4668750000,0,450000,코스피 200 선물지수,1723.42,15.86,0.93
448490,HANARO 32-10 국고채액티브,51640,-120,-0.23,51648.17,51840,51840,51620,528,27279495,52362960000,0,1014000,KAP 32-10 국고채 10년 총수익지수,99.34,0,0
454320,HANARO CAPEX설비투자iSelect,12165,180,1.5,12157.22,11985,12165,11970,8954,107932175,7299000000,0,600000,iSelect CAPEX 설비투자 지수(시장가격),1773.47,19.35,1.1
395290,HANARO Fn K-POP&미디어,10500,-145,-1.36,10466.49,10630,10630,10295,61370,640664320,1.07625E+11,0,10250000,FnGuide K-POP & 미디어 지수,994.32,-16.3,-1.61
395280,HANARO Fn K-게임,4235,-10,-0.24,4230.4,4220,4285,4220,10354,44049420,13340250000,0,3150000,FnGuide K-게임 지수,815.97,-1.5,-0.18
368190,HANARO Fn K-뉴딜디지털플러스,9650,225,2.39,9640.36,9585,9675,9585,3498,33707785,47285000000,0,4900000,FnGuide K-뉴딜 디지털 플러스 지수,2320.07,52.53,2.32
402460,HANARO Fn K-메타버스MZ,7650,-5,-0.07,7657.47,7610,7650,7610,439,3350880,7267500000,0,950000,FnGuide K-메타버스 MZ 지수(시장가격),1227.98,2.16,0.18
395270,HANARO Fn K-반도체,9355,50,0.54,9344.53,9250,9385,9250,290715,2712285465,72969000000,0,7800000,FnGuide K-반도체 지수,2793.86,14.99,0.54
438900,HANARO Fn K-푸드,8795,-70,-0.79,8809.69,8805,8835,8760,1087,9554560,6596250000,0,750000,FnGuide K-푸드 지수 (시장가격),675.36,-3.42,-0.5
367740,HANARO Fn5G산업,11720,80,0.69,11709.82,11615,11720,11615,693,8085920,6446000000,0,550000,FnGuide 5G 산업 지수,1997.99,12.01,0.6
